 *** ZZT:Watch ***
File: D:\ZZT\Watch_ZAKUCA1A-ZAKUCA1A_089.log
Computer: INEM1332-NB; User: anto.maric
Connection: Telnet 192.168.0.11:23
Target: D105OSCZ; Application: ZAKUCA1A-ZAKUCA1A
Start time: 21.2.2025. 15:03:14

Signals: 16
 1.    VGACT int16
 2.     PACT int16
 3.     QACT int16
 4.    VGREF int16
 5.    PACTH int16
 6.    QACTH int16
 7.    QHREF int16
 8.    VHACT int16
 9.    VHREF int16
10.  COSPHIH int16
11.  COSHREF int16
12.    IFACT int16
13.    UFACT int16
14.  COSHINC log16
15.  COSHDEC log16
16. COHREFCC int16

Data:
   0.056 -21537  11570  -7004  21987  11758  -8034      0 -22570  24179   5700      0   3446   3475 0 0 
   0.513 -21534  11579  -7006  21987  11758  -8034      0 -22570  24179   5700      0   3448   3479 0 0   1000 
   0.612 -21532  11588  -7004  21987  11758  -8034      0 -22570  24179   5700      0   3448   3471 0 0   1000 
   0.694 -21533  11599  -7002  21987  11758  -8034      0 -22570  24179   5700      0   3451   3473 0 0   1000 
   0.767 -21534  11595  -7004  21987  11758  -8034      0 -22570  24179   5700      0   3453   3473 0 0   1000 
   0.883 -21534  11590  -7006  21987  11758  -8034      0 -22570  24179   5700      0   3450   3466 0 0   1000 
   0.966 -21533  11586  -7004  21987  11758  -8034      0 -22570  24179   5700      0   3453   3479 0 0   1000 
   1.040 -21534  11568  -7006  21987  11758  -8034      0 -22570  24179   5700      0   3450   3471 0 1   1000 
   1.124 -21534  11563  -6997  21987  11762  -8042      0 -22570  24179   5700      0   3448   3479 0 1   1000 
   1.206 -21534  11559  -7004  21987  11762  -8042      0 -22570  24179   5700      0   3446   3465 0 0   1000 
   1.280 -21533  11561  -7006  21987  11762  -8042      0 -22570  24179   5700      0   3446   3471 0 0   1000 
   1.362 -21533  11559  -7004  21987  11762  -8042      0 -22570  24179   5700      0   3447   3455 0 0   1000 
   1.460 -21531  11572  -6997  21987  11762  -8042      0 -22570  24179   5700      0   3446   3462 0 0   1000 
   1.560 -21531  11586  -7004  21987  11762  -8042      0 -22570  24179   5700      0   3447   3475 0 0   1000 
   1.633 -21533  11577  -7006  21987  11762  -8042      0 -22570  24179   5700      0   3448   3479 0 1   1000 
   1.733 -21533  11572  -7006  21987  11762  -8042      0 -22570  24179   5700      0   3445   3474 0 1   1000 
   1.814 -21532  11568  -7011  21987  11762  -8042      0 -22570  24179   5700      0   3444   3469 0 0   1000 
   1.888 -21532  11561  -7006  21987  11762  -8042      0 -22570  24179   5700      0   3447   3463 0 0   1000 
   1.987 -21531  11559  -6997  21987  11762  -8042      0 -22570  24179   5700      0   3444   3445 0 0   1000 
   2.068 -21530  11568  -7004  21987  11762  -8042      0 -22570  24179   5700      0   3445   3445 0 0   1000 
   2.153 -21531  11577  -7013  21987  11762  -8042      0 -22570  24179   5700      0   3443   3455 0 0   1000 
   2.241 -21531  11568  -7006  21987  11762  -8042      0 -22570  24179   5700      0   3446   3453 0 0   1000 
   2.341 -21532  11579  -7020  21987  11762  -8042      0 -22570  24179   5700      0   3446   3470 0 1   1000 
   2.440 -21531  11579  -7013  21987  11762  -8042      0 -22570  24179   5700      0   3446   3472 0 0   1000 
   2.539 -21531  11563  -7011  21987  11762  -8042      0 -22570  24179   5700      0   3444   3469 0 0   1000 
   2.621 -21530  11572  -7011  21987  11762  -8042      0 -22572  24179   5700      0   3444   3470 0 0   1000 
   2.746 -21532  11554  -7011  21987  11762  -8042      0 -22576  24179   5700      0   3442   3462 0 0   1000 
   3.328 -21533  11552  -7020  21987  11762  -8042      0 -22578  24179   5700      0   3443   3477 0 0   1000 
   3.443 -21533  11577  -7006  21987  11762  -8042      0 -22578  24179   5700      0   3451   3484 0 0   1000 
   3.553 -21532  11559  -7004  21987  11762  -8042      0 -22578  24179   5700      0   3447   3472 0 1   1000 
